frame,vertice,x,y
321,2,308,1012
321,3,0,196
321,4,552,144
322,0,656,1068
322,1,476,1096
322,2,308,1012
322,3,0,196
322,4,552,144
323,0,656,1068
323,1,476,1096
323,2,308,1012
323,3,0,196
323,4,552,144
324,0,656,1068
324,1,476,1096
324,2,308,1012
324,3,0,196
324,4,552,144
325,0,656,1068
325,1,476,1096
325,2,308,1012
325,3,0,196
325,4,552,144
326,0,656,1068
326,1,476,1096
326,2,308,1012
326,3,0,196
326,4,552,144
327,0,656,1068
327,1,476,1096
327,2,308,1012
327,3,0,196
327,4,552,144
328,0,656,1068
328,1,476,1096
328,2,308,1012
328,3,0,196
328,4,552,144
329,0,656,1068
329,1,476,1096
329,2,308,1012
329,3,0,196
329,4,552,144
330,0,664,1084
330,1,484,1100
330,2,332,1008
330,3,0,196
330,4,552,144
331,0,664,1084
331,1,484,1100
331,2,332,1008
331,3,0,196
331,4,552,144
332,0,664,1084
332,1,484,1100
332,2,332,1008
332,3,0,196
332,4,552,144
333,0,664,1084
333,1,484,1100
333,2,332,1008
333,3,0,196
333,4,552,144
334,0,664,1084
334,1,484,1100
334,2,332,1008
334,3,0,196
334,4,552,144
335,0,664,1084
335,1,484,1100
335,2,332,1008
335,3,0,196
335,4,552,144
336,0,664,1084
336,1,484,1100
336,2,332,1008
336,3,0,196
336,4,552,144
337,0,664,1084
337,1,484,1100
337,2,332,1008
337,3,0,196
337,4,552,144
338,0,664,1084
338,1,484,1100
338,2,332,1008
338,3,0,196
338,4,552,144
339,0,664,1084
339,1,484,1100
339,2,332,1008
339,3,0,196
339,4,552,144
340,0,656,1068
340,1,476,1096
340,2,336,1012
340,3,252,292
340,4,356,160
340,5,556,156
341,0,656,1068
341,1,476,1096
341,2,336,1012
341,3,252,292
341,4,356,160
341,5,556,156
342,0,656,1068
342,1,476,1096
342,2,336,1012
342,3,252,292
342,4,356,160
342,5,556,156
343,0,656,1068
343,1,476,1096
343,2,336,1012
343,3,252,292
343,4,356,160
343,5,556,156
344,0,656,1068
344,1,476,1096
344,2,336,1012
344,3,252,292
344,4,356,160
344,5,556,156
345,0,656,1068
345,1,476,1096
345,2,336,1012
345,3,252,292
345,4,356,160
345,5,556,156
346,0,656,1068
346,1,476,1096
346,2,336,1012
346,3,252,292
346,4,356,160
346,5,556,156
347,0,656,1068
347,1,476,1096
347,2,336,1012
347,3,252,292
347,4,356,160
347,5,556,156
348,0,656,1068
348,1,476,1096
348,2,336,1012
348,3,252,292
348,4,356,160
348,5,556,156
349,0,656,1068
349,1,476,1096
349,2,336,1012
349,3,252,292
349,4,356,160
349,5,556,156
350,0,656,1068
350,1,476,1096
350,2,308,1012
350,3,0,196
350,4,552,144
351,0,656,1068
351,1,476,1096
351,2,308,1012
351,3,0,196
351,4,552,144
352,0,656,1068
352,1,476,1096
352,2,308,1012
352,3,0,196
352,4,552,144
353,0,656,1068
353,1,476,1096
353,2,308,1012
353,3,0,196
353,4,552,144
354,0,656,1068
354,1,476,1096
354,2,308,1012
354,3,0,196
354,4,552,144
355,0,656,1068
355,1,476,1096
355,2,308,1012
355,3,0,196
355,4,552,144
356,0,656,1068
356,1,476,1096
356,2,308,1012
356,3,0,196
356,4,552,144
357,0,656,1068
357,1,476,1096
357,2,308,1012
357,3,0,196
357,4,552,144
358,0,656,1068
358,1,476,1096
358,2,308,1012
358,3,0,196
358,4,552,144
359,0,656,1068
359,1,476,1096
359,2,308,1012
359,3,0,196
359,4,552,144
360,0,656,1068
360,1,476,1096
360,2,332,1008
360,3,248,292
360,4,356,160
360,5,556,152
361,0,656,1068
361,1,476,1096
361,2,332,1008
361,3,248,292
361,4,356,160
361,5,556,152
362,0,656,1068
362,1,476,1096
362,2,332,1008
362,3,248,292
362,4,356,160
362,5,556,152
363,0,656,1068
363,1,476,1096
363,2,332,1008
363,3,248,292
363,4,356,160
363,5,556,152
364,0,656,1068
364,1,476,1096
364,2,332,1008
364,3,248,292
364,4,356,160
364,5,556,152
365,0,656,1068
365,1,476,1096
365,2,332,1008
365,3,248,292
365,4,356,160
365,5,556,152
366,0,656,1068
366,1,476,1096
366,2,332,1008
366,3,248,292
366,4,356,160
366,5,556,152
367,0,656,1068
367,1,476,1096
367,2,332,1008
367,3,248,292
367,4,356,160
367,5,556,152
368,0,656,1068
368,1,476,1096
368,2,332,1008
368,3,248,292
368,4,356,160
368,5,556,152
369,0,656,1068
369,1,476,1096
369,2,332,1008
369,3,248,292
369,4,356,160
369,5,556,152
370,0,656,1068
370,1,484,1100
370,2,336,1012
370,3,0,196
370,4,552,144
371,0,656,1068
371,1,484,1100
371,2,336,1012
371,3,0,196
371,4,552,144
372,0,656,1068
372,1,484,1100
372,2,336,1012
372,3,0,196
372,4,552,144
373,0,656,1068
373,1,484,1100
373,2,336,1012
373,3,0,196
373,4,552,144
374,0,656,1068
374,1,484,1100
374,2,336,1012
374,3,0,196
374,4,552,144
375,0,656,1068
375,1,484,1100
375,2,336,1012
375,3,0,196
375,4,552,144
376,0,656,1068
376,1,484,1100
376,2,336,1012
376,3,0,196
376,4,552,144
377,0,656,1068
377,1,484,1100
377,2,336,1012
377,3,0,196
377,4,552,144
378,0,656,1068
378,1,484,1100
378,2,336,1012
378,3,0,196
378,4,552,144
379,0,656,1068
