frame,id_objeto,equipo,pixel_x,pixel_y,cenital_x,cenital_y
105,robot_1,0,542,125,-12,5
105,robot_2,1,317,930,363,164
106,ball,-1,614,978,398,23
106,robot_0,0,548,966,390,54
106,robot_1,0,551,115,-17,0
106,robot_2,1,317,930,363,164
107,ball,-1,613,978,398,23
107,robot_0,0,545,961,388,55
107,robot_1,0,547,115,-17,1
107,robot_2,1,317,930,363,164
108,ball,-1,612,978,398,24
108,robot_0,0,541,956,386,57
108,robot_1,0,542,118,-16,4
108,robot_2,1,317,930,363,164
109,ball,-1,611,978,398,24
109,robot_0,0,539,952,384,58
109,robot_1,0,541,119,-15,5
109,robot_2,1,317,930,363,164
110,ball,-1,611,979,399,24
110,robot_0,0,536,947,382,59
110,robot_1,0,539,122,-13,7
110,robot_2,1,317,930,363,164
111,ball,-1,610,979,399,25
111,robot_0,0,532,942,379,61
111,robot_1,0,537,124,-12,8
111,robot_2,1,317,930,363,164
112,ball,-1,610,979,399,25
112,robot_0,0,528,937,377,62
112,robot_1,0,536,124,-12,8
112,robot_2,1,317,930,363,164
113,ball,-1,610,980,399,25
113,robot_0,0,525,932,375,64
113,robot_1,0,535,125,-12,9
113,robot_2,1,317,930,363,164
114,ball,-1,610,980,399,25
114,robot_0,0,521,926,372,65
114,robot_1,0,533,124,-13,10
114,robot_2,1,317,930,363,164
115,ball,-1,609,980,399,25
115,robot_0,0,519,924,371,66
115,robot_1,0,529,123,-13,12
115,robot_2,1,317,930,363,164
116,ball,-1,609,980,399,25
116,robot_0,0,516,919,369,67
116,robot_1,0,523,122,-14,16
116,robot_2,1,317,930,363,164
117,ball,-1,609,980,399,25
117,robot_0,0,514,917,368,68
117,robot_1,0,516,123,-14,20
117,robot_2,1,317,930,363,164
118,ball,-1,609,980,399,25
118,robot_0,0,513,917,368,69
118,robot_1,0,511,122,-15,23
118,robot_2,1,317,930,363,164
119,ball,-1,609,981,399,25
119,robot_0,0,514,920,370,68
119,robot_1,0,507,123,-15,25
119,robot_2,1,318,929,362,164
120,ball,-1,609,981,399,25
120,robot_0,0,516,923,371,67
120,robot_1,0,505,126,-13,27
120,robot_2,1,320,927,362,163
121,ball,-1,609,981,399,25
121,robot_0,0,520,926,372,66
121,robot_1,0,506,125,-14,26
121,robot_2,1,323,927,362,161
122,ball,-1,609,981,399,25
122,robot_0,0,524,929,374,64
122,robot_1,0,508,125,-13,25
122,robot_2,1,323,927,362,161
123,ball,-1,609,981,399,25
123,robot_0,0,529,931,375,62
123,robot_1,0,511,124,-14,23
123,robot_2,1,321,928,362,162
124,ball,-1,609,980,399,25
124,robot_0,0,535,935,377,59
124,robot_1,0,513,125,-13,22
124,robot_2,1,318,929,362,164
125,ball,-1,609,980,399,25
125,robot_0,0,541,938,378,56
125,robot_1,0,516,125,-13,20
125,robot_2,1,315,929,362,165
126,ball,-1,610,981,399,25
126,robot_0,0,548,943,381,53
126,robot_1,0,519,126,-12,18
126,robot_2,1,314,930,362,166
127,ball,-1,611,980,399,24
127,robot_0,0,553,946,382,51
127,robot_1,0,521,126,-12,17
127,robot_2,1,315,929,362,165
128,ball,-1,610,980,399,25
128,robot_0,0,561,951,385,47
128,robot_1,0,524,126,-12,16
128,robot_2,1,315,928,362,165
129,ball,-1,611,981,399,24
129,robot_0,0,564,949,384,45
129,robot_1,0,525,127,-11,15
129,robot_2,1,315,928,362,165
130,ball,-1,613,983,400,24
130,robot_0,0,562,936,379,46
130,robot_1,0,528,128,-11,13
130,robot_2,1,315,928,362,165
131,robot_0,0,573,954,387,41
